"id","country","year","expectancy","drinkingwater","handwash","birthattended","gdpspent","literacy","meddoctor","nursemidwives","stuteacherratio"
1,"Afghanistan",2000,"54.99","21.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Afghanistan",2010,"59.94","35.994","37.08","34.3","3.4795",NULL,"1.916","5.102500000000001","43.34126666666666"
3,"Afghanistan",2015,"61.65","47.588","37.444","43.55","3.2558","34.95458","2.722","1.76","43.3884"
4,"Afghanistan",2019,"63.21","56.08","37.71","56.099999999999994","4.0589",NULL,"2.78","1.62","48.7898"
5,"Albania",2000,"73.55","81.78",NULL,NULL,NULL,NULL,"13.855","42.808",NULL
6,"Albania",2010,"76.25","82.19000000000001",NULL,"99.3","3.2759","95.938637","12.11","41.4225","19.7021"
7,"Albania",2015,"77.84","86.18400000000001",NULL,NULL,"3.438","97.21539066666666","12.556666666666667","42.946666666666665","19.2424"
8,"Albania",2019,"78.0","89.88",NULL,"99.8","3.0395000000000003",NULL,"12.16","36.5","17.5729"
9,"Algeria",2000,"72.21","83.32",NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"Algeria",2010,"75.85","86.18599999999999","83.02","95.2","4.337","73.89236449999999","11.96","19.29","23.328000000000003"
11,"Algeria",2015,"76.54","87.976","83.372","96.6",NULL,"79.608398",NULL,"2.86","23.8361"
12,"Algeria",2019,"77.13","88.69","83.695",NULL,NULL,NULL,"17.8","20.046666666666667","24.3202"
13,"Angola",2000,"49.3","21.15",NULL,NULL,NULL,NULL,"0.59","9.16",NULL
14,"Angola",2010,"58.07","24.139999999999997",NULL,"47.3","2.8514",NULL,"1.31","13.14","45.5865"
15,"Angola",2015,"61.72","25.98","26.1525",NULL,NULL,"71.07762550000001",NULL,"0.012","46.2863"
16,"Angola",2019,"63.06","27.259999999999998","26.59","46.6",NULL,NULL,"2.15","4.08",NULL
17,"Antigua and Barbuda",2000,"74.56","98.25",NULL,"99.9",NULL,NULL,"1.61","31.19","18.741"
18,"Antigua and Barbuda",2010,"75.95","97.322",NULL,"99.97999999999999","2.5172",NULL,"11.205","32.98","15.0656"
19,"Antigua and Barbuda",2015,"76.14","96.80999999999999",NULL,"100.0",NULL,"98.949997",NULL,"45.99","14.08965"
20,"Antigua and Barbuda",2019,"76.45","96.74",NULL,"100.0",NULL,NULL,"29.56","45.00333333333333","12.4056"
21,"Argentina",2000,"74.09","76.4",NULL,"99.1",NULL,NULL,"30.17","8.04",NULL
22,"Argentina",2010,"75.44","87.458",NULL,"97.3","5.0197",NULL,NULL,NULL,"17.2297"
23,"Argentina",2015,"76.17","92.704",NULL,"98.3","5.7761","98.061996","39.39","42.46",NULL
24,"Argentina",2019,"76.58","96.31",NULL,"96.15","5.4622",NULL,"39.955","25.91",NULL
25,"Armenia",2000,"71.88","88.56","83.25",NULL,NULL,NULL,"10.766000000000002","59.09",NULL
26,"Armenia",2010,"73.12","94.602","88.19800000000001","99.79999999999998","3.5449",NULL,"27.23","51.74399999999999","19.3076"
27,"Armenia",2015,"74.51","98.38399999999999","91.412","100.0","2.52655","99.7564125","28.95","51.79600000000001",NULL
28,"Armenia",2019,"76.03","100.0","93.71000000000001","99.8","2.7076",NULL,"44.02","61.07","15.4186"
29,"Australia",2000,"79.69","99.06",NULL,"99.3","4.8915",NULL,"25.31","5.99",NULL
30,"Australia",2010,"81.9","99.548",NULL,"99.16","5.5501",NULL,"30.574","84.33200000000001",NULL
31,"Australia",2015,"82.28","99.922",NULL,"99.4","5.312",NULL,"33.694","114.4",NULL
32,"Australia",2019,"83.04","100.0",NULL,"96.85","5.2716",NULL,"36.225","124.8",NULL
33,"Austria",2000,"78.17","100.0",NULL,"98.3",NULL,NULL,"37.148","54.43399999999999",NULL
34,"Austria",2010,"80.39","100.0",NULL,"98.55999999999999","5.7005",NULL,"46.292","65.422","11.0283"
35,"Austria",2015,"80.98","100.0",NULL,"98.52000000000001","5.4568","98.0","49.68","69.01","10.5842"
